NEWID	clustersID
15098	1 2 3 4 5 6 7 8 9 10 11 
15099	1 2 3 4 5 6 7 8 9 10 11 12 13 
15100	1 2 3 4 5 6 7 8 9 10 11 
15101	1 2 3 4 5 6 7 8 9 10 11 12 
15102	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15103	1 2 3 4 5 6 7 8 9 10 11 12 
15104	1 2 3 4 5 6 7 8 9 10 11 12 13 
15105	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15106	1 2 3 4 5 6 7 8 9 10 11 12 
15107	1 2 3 4 5 6 7 8 9 10 11 
15108	1 2 3 4 5 6 7 8 9 10 11 12 
15109	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15110	1 2 3 4 5 6 7 8 9 10 11 
15111	1 2 3 4 5 6 7 8 9 10 11 12 13 
15112	1 2 3 4 5 6 7 8 9 10 11 12 
15113	1 2 3 4 5 6 7 8 9 10 11 
15114	1 2 3 4 5 6 7 8 9 10 11 12 13 
15115	1 2 3 4 5 6 7 8 9 10 11 12 13 
15116	1 2 3 4 5 6 7 8 9 10 11 12 
15118	1 2 3 4 5 6 7 8 9 10 11 12 
15119	1 2 3 4 5 6 7 8 9 10 11 12 13 
15120	1 2 3 4 5 6 7 8 9 10 11 12 13 
15121	1 2 3 4 5 6 7 8 9 10 
15122	1 2 3 4 5 6 7 8 9 10 11 
15123	1 2 3 4 5 6 7 8 9 10 11 12 13 
15125	1 2 3 4 5 6 7 8 9 10 11 12 13 
15126	1 2 3 4 5 6 7 8 9 10 11 12 
15127	1 2 3 4 5 6 7 8 9 10 11 12 
15128	1 2 3 4 5 6 7 8 9 10 11 12 
15129	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15130	1 2 3 4 5 6 7 8 9 10 11 12 
15131	1 2 3 4 5 6 7 8 9 10 11 12 13 
15132	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15133	1 2 3 4 5 6 7 8 9 10 11 12 
15134	1 2 3 4 5 6 7 8 9 10 
15135	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15136	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15137	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15138	1 2 3 4 5 6 7 8 9 10 11 12 13 
15139	1 2 3 4 5 6 7 8 9 10 11 12 13 
15140	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15141	1 2 3 4 5 6 7 8 9 10 11 12 
15142	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15143	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15144	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15145	1 2 3 4 5 6 7 8 9 10 11 12 13 
15146	1 2 3 4 5 6 7 8 9 10 11 12 
15147	1 2 3 4 5 6 7 8 9 10 11 
15149	1 2 3 4 5 6 7 8 9 10 
15151	1 2 3 4 5 6 7 8 9 10 11 12 13 
15152	1 2 3 4 5 6 7 8 9 10 11 12 13 
15153	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15154	1 2 3 4 5 6 7 8 9 10 11 12 
15155	1 2 3 4 5 6 7 8 9 10 11 
15156	1 2 3 4 5 6 7 8 9 10 11 12 13 
15157	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15158	1 2 3 4 5 6 7 8 9 10 11 12 13 
15159	1 2 3 4 5 6 7 8 9 10 11 
15160	1 2 3 4 5 6 7 8 9 10 
15161	1 2 3 4 5 6 7 8 9 10 11 12 13 
15162	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15163	1 2 3 4 5 6 7 8 9 10 11 12 13 
15164	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15165	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15166	1 2 3 4 5 6 7 8 9 10 11 12 13 
15167	1 2 3 4 5 6 7 8 9 10 11 12 13 
15168	1 2 3 4 5 6 7 8 9 10 11 12 13 
15169	1 2 3 4 5 6 7 8 9 10 11 12 13 
15170	1 2 3 4 5 6 7 8 9 10 
15171	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15173	1 2 3 4 5 6 7 8 9 10 11 12 13 
15174	1 2 3 4 5 6 7 8 9 10 11 
15175	1 2 3 4 5 6 7 8 9 10 11 
15176	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 
15177	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15178	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15179	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15180	1 2 3 4 5 6 7 8 9 10 11 
15181	1 2 3 4 5 6 7 8 9 10 11 12 
15182	1 2 3 4 5 6 7 8 9 10 
15183	1 2 3 4 5 6 7 8 9 10 
15184	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15186	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15187	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15188	1 2 3 4 5 6 7 8 9 10 11 12 
15189	1 2 3 4 5 6 7 8 9 10 11 12 
15190	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15191	1 2 3 4 5 6 7 8 9 10 
15192	1 2 3 4 5 6 7 8 9 10 11 12 13 
15193	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15194	1 2 3 4 5 6 7 8 9 10 11 
15195	1 2 3 4 5 6 7 8 9 10 11 12 
15196	1 2 3 4 5 6 7 8 9 10 11 12 13 
15197	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15198	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15200	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15202	1 2 3 4 5 6 7 8 9 10 11 12 13 
15203	1 2 3 4 5 6 7 8 9 10 11 12 13 
15204	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15205	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15206	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15207	1 2 3 4 5 6 7 8 9 10 11 12 13 
15208	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15209	1 2 3 4 5 6 7 8 9 10 11 12 
15210	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15211	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15212	1 2 3 4 5 6 7 8 9 10 11 12 
15213	1 2 3 4 5 6 7 8 9 10 11 
15214	1 2 3 4 5 6 7 8 9 10 11 12 13 
15215	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15216	1 2 3 4 5 6 7 8 9 10 11 12 13 
15217	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15218	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15219	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15220	1 2 3 4 5 6 7 8 9 10 11 12 13 
15221	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15223	1 2 3 4 5 6 7 8 9 10 11 
15224	1 2 3 4 5 6 7 8 9 10 11 12 13 
15225	1 2 3 4 5 6 7 8 9 10 11 12 13 
15226	1 2 3 4 5 6 7 8 9 10 11 12 13 
15227	1 2 3 4 5 6 7 8 9 10 11 12 
15228	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15230	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15232	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15233	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15234	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15235	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15236	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15237	1 2 3 4 5 6 7 8 9 10 11 12 13 
15238	1 2 3 4 5 6 7 8 9 10 11 12 
15239	1 2 3 4 5 6 7 8 9 10 11 12 
15240	1 2 3 4 5 6 7 8 9 10 
15241	1 2 3 4 5 6 7 8 9 10 
15244	1 2 3 4 5 6 7 8 9 10 11 12 
15245	1 2 3 4 5 6 7 8 9 10 11 
15246	1 2 3 4 5 6 7 8 9 10 11 12 
15247	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15249	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15250	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15251	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15253	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15254	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15255	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15257	1 2 3 4 5 6 7 8 9 10 11 12 13 
15258	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15259	1 2 3 4 5 6 7 8 9 10 11 12 13 
15260	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15261	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15263	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15264	1 2 3 4 5 6 7 8 9 10 11 
15265	1 2 3 4 5 6 7 8 9 10 11 12 13 
15266	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15267	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15268	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 
15269	1 2 3 4 5 6 7 8 9 10 11 12 13 
15270	1 2 3 4 5 6 7 8 9 10 
15271	1 2 3 4 5 6 7 8 9 10 11 
15272	1 2 3 4 5 6 7 8 9 10 11 12 
15273	1 2 3 4 5 6 7 8 9 10 11 12 
15274	1 2 3 4 5 6 7 8 9 10 11 12 13 
15275	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15276	1 2 3 4 5 6 7 8 9 10 11 12 
15277	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15278	1 2 3 4 5 6 7 8 9 10 11 12 
15279	1 2 3 4 5 6 7 8 9 10 11 12 
15280	1 2 3 4 5 6 7 8 9 10 11 12 
15281	1 2 3 4 5 6 7 8 9 10 11 
15282	1 2 3 4 5 6 7 8 9 10 11 12 13 
15283	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15284	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15286	1 2 3 4 5 6 7 8 9 10 11 12 13 
15287	1 2 3 4 5 6 7 8 9 10 11 12 13 
15288	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15289	1 2 3 4 5 6 7 8 9 10 11 12 
15290	1 2 3 4 5 6 7 8 9 10 11 12 13 
15291	1 2 3 4 5 6 7 8 9 10 11 12 
15292	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15293	1 2 3 4 5 6 7 8 9 10 11 12 13 
15294	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15295	1 2 3 4 5 6 7 8 9 10 11 12 13 
15296	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15297	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15298	1 2 3 4 5 6 7 8 9 10 11 12 13 
15299	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15300	1 2 3 4 5 6 7 8 9 10 11 12 13 
15301	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15303	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15304	1 2 3 4 5 6 7 8 9 10 
15305	1 2 3 4 5 6 7 8 9 10 11 12 13 
15306	1 2 3 4 5 6 7 8 9 10 11 12 
15307	1 2 3 4 5 6 7 8 9 10 11 12 
15308	1 2 3 4 5 6 7 8 9 10 11 12 
15309	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15310	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15311	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15312	1 2 3 4 5 6 7 8 9 10 11 12 13 
15313	1 2 3 4 5 6 7 8 9 10 11 12 13 
15314	1 2 3 4 5 6 7 8 9 10 11 12 13 
15315	1 2 3 4 5 6 7 8 9 10 11 12 13 
15316	1 2 3 4 5 6 7 8 9 10 11 
15317	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15318	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15320	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15321	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15322	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15323	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15324	1 2 3 4 5 6 7 8 9 10 11 
15325	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15326	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15327	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15328	1 2 3 4 5 6 7 8 9 10 11 12 13 
15329	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15330	1 2 3 4 5 6 7 8 9 10 11 12 13 
15331	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15332	1 2 3 4 5 6 7 8 9 10 11 
15333	1 2 3 4 5 6 7 8 9 10 11 
15334	1 2 3 4 5 6 7 8 9 10 11 12 
15335	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15336	1 2 3 4 5 6 7 8 9 10 11 12 13 
15337	1 2 3 4 5 6 7 8 9 10 
15338	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15340	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15341	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15342	1 2 3 4 5 6 7 8 9 10 11 12 13 
15343	1 2 3 4 5 6 7 8 9 10 11 12 
15344	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15345	1 2 3 4 5 6 7 8 9 10 11 12 13 
15347	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15348	1 2 3 4 5 6 7 8 9 10 11 12 13 
15349	1 2 3 4 5 6 7 8 9 10 11 12 13 
15350	1 2 3 4 5 6 7 8 9 10 11 12 
15351	1 2 3 4 5 6 7 8 9 10 11 
15352	1 2 3 4 5 6 7 8 9 10 11 12 13 
15353	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15354	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15355	1 2 3 4 5 6 7 8 9 10 11 
15356	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 
15357	1 2 3 4 5 6 7 8 9 10 11 12 
15358	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15359	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15360	1 2 3 4 5 6 7 8 9 10 11 12 
15361	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 
15362	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15363	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15364	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15365	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15366	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15367	1 2 3 4 5 6 7 8 9 10 11 12 
15368	1 2 3 4 5 6 7 8 9 10 11 12 13 
15369	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15370	1 2 3 4 5 6 7 8 9 10 11 12 
15371	1 2 3 4 5 6 7 8 9 10 11 12 13 
15372	1 2 3 4 5 6 7 8 9 10 11 12 
15373	1 2 3 4 5 6 7 8 9 10 11 12 13 
15374	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15375	1 2 3 4 5 6 7 8 9 10 11 12 
15376	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15377	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15378	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15380	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15381	1 2 3 4 5 6 7 8 9 10 11 12 
15382	1 2 3 4 5 6 7 8 9 10 11 
15384	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15385	1 2 3 4 5 6 7 8 9 10 11 12 13 
15386	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15387	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15388	1 2 3 4 5 6 7 8 9 10 11 12 
15389	1 2 3 4 5 6 7 8 9 10 11 12 13 
15390	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15391	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15392	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15393	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15394	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15395	1 2 3 4 5 6 7 8 9 10 11 12 13 
15396	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15397	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15398	1 2 3 4 5 6 7 8 9 10 11 12 
15399	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
15400	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15401	1 2 3 4 5 6 7 8 9 10 11 12 13 
15402	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15403	1 2 3 4 5 6 7 8 9 10 11 12 13 
15404	1 2 3 4 5 6 7 8 9 10 11 12 
15405	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15406	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 
15407	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15408	1 2 3 4 5 6 7 8 9 10 11 12 
15409	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15410	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
15411	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
15412	1 2 3 4 5 6 7 8 9 10 11 12 13 
15413	1 2 3 4 5 6 7 8 9 10 11 12 13 
15414	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15415	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15416	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15417	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15418	1 2 3 4 5 6 7 8 9 10 11 12 
15419	1 2 3 4 5 6 7 8 9 10 11 12 
15420	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15421	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15422	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15423	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15424	1 2 3 4 5 6 7 8 9 10 11 12 
15425	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15426	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15427	1 2 3 4 5 6 7 8 9 10 11 12 13 
15429	1 2 3 4 5 6 7 8 9 10 11 12 13 
15430	1 2 3 4 5 6 7 8 9 10 11 
15431	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15432	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15433	1 2 3 4 5 6 7 8 9 10 11 12 13 
15434	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15435	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15436	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15437	1 2 3 4 5 6 7 8 9 10 11 
15438	1 2 3 4 5 6 7 8 9 10 11 12 
15439	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15440	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15442	1 2 3 4 5 6 7 8 9 10 11 
15443	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15444	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15445	1 2 3 4 5 6 7 8 9 10 11 12 13 
15446	1 2 3 4 5 6 7 8 9 10 11 12 13 
15447	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15448	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15449	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15450	1 2 3 4 5 6 7 8 9 10 11 12 
15451	1 2 3 4 5 6 7 8 9 10 11 12 
15452	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15453	1 2 3 4 5 6 7 8 9 10 11 
15454	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15455	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15456	1 2 3 4 5 6 7 8 9 10 11 12 
15457	1 2 3 4 5 6 7 8 9 10 11 12 13 
15458	1 2 3 4 5 6 7 8 9 10 11 
15459	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15460	1 2 3 4 5 6 7 8 9 10 11 
15461	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15462	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15463	1 2 3 4 5 6 7 8 9 10 11 12 
15464	1 2 3 4 5 6 7 8 9 10 11 12 13 
15465	1 2 3 4 5 6 7 8 9 10 11 
15466	1 2 3 4 5 6 7 8 9 10 11 
15467	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15468	1 2 3 4 5 6 7 8 9 10 11 12 13 
15469	1 2 3 4 5 6 7 8 9 10 11 12 13 
15470	1 2 3 4 5 6 7 8 9 10 11 12 
15471	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15472	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15473	1 2 3 4 5 6 7 8 9 10 11 12 13 
15474	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15475	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15476	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
15477	1 2 3 4 5 6 7 8 9 10 11 12 
15478	1 2 3 4 5 6 7 8 9 10 11 12 13 
15479	1 2 3 4 5 6 7 8 9 10 11 
15480	1 2 3 4 5 6 7 8 9 10 11 12 13 
15481	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15482	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15483	1 2 3 4 5 6 7 8 9 10 11 12 13 14 
15484	1 2 3 4 5 6 7 8 9 10 11 12 13 
15485	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15486	1 2 3 4 5 6 7 8 9 10 11 12 13 
15488	1 2 3 4 5 6 7 8 9 10 11 12 
15489	1 2 3 4 5 6 7 8 9 10 11 12 13 
15490	1 2 3 4 5 6 7 8 9 10 11 12 13 
15491	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
15492	1 2 3 4 5 6 7 8 9 10 11 12 
